Title,Location,Price,Area,Rooms,Interior
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment George Gershwinlaan,            1082 MT Amsterdam (Zuidas)        ,"                €3,000 per month            ",126 m²,3 rooms,Upholstered
Apartment Ruyschstraat 31 A,            1091 BS Amsterdam (Weesperzijde)        ,"                €3,450 per month            ",150 m²,4 rooms,Furnished
Apartment Bezaanjachtplein,            1034 CR Amsterdam (Banne Buiksloot)        ,"                €1,500 per month            ",50 m²,2 rooms,Furnished
Apartment August Allebéplein 171,            1062 AB Amsterdam (Overtoomse Veld)        ,"                €1,450 per month            ",59 m²,3 rooms,Upholstered
Apartment August Allebéplein 187,            1062 AB Amsterdam (Overtoomse Veld)        ,"                €1,425 per month            ",53 m²,3 rooms,Upholstered
Apartment August Allebéplein 165,            1062 AB Amsterdam (Overtoomse Veld)        ,"                €1,450 per month            ",59 m²,3 rooms,Upholstered
Apartment August Allebéplein 111,            1062 AB Amsterdam (Overtoomse Veld)        ,"                €1,450 per month            ",59 m²,3 rooms,Upholstered
Apartment August Allebéplein 119,            1062 AB Amsterdam (Overtoomse Veld)        ,"                €1,420 per month            ",52 m²,3 rooms,Upholstered
Apartment Krommertstraat,            1056 TS Amsterdam (Geuzenbuurt)        ,"                €1,350 per month            ",60 m²,2 rooms,Upholstered
Apartment Dirk Vreekenstraat 68,            1019 GD Amsterdam (Oostelijk Havengebied)        ,"                €1,700 per month            ",86 m²,4 rooms,None
Apartment Van Brakelstraat,            1057 XC Amsterdam (Chassébuurt)        ,"                €2,150 per month            ",72 m²,3 rooms,Furnished
Apartment Schubertstraat,            1077 GS Amsterdam (Apollobuurt)        ,"                €2,200 per month            ",69 m²,2 rooms,Upholstered
Apartment Alfred Döblinstraat,"            1102 VM Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",60 m²,2 rooms,Furnished
Apartment Egelantiersstraat 85 2,            1015 PX Amsterdam (Jordaan)        ,"                €1,600 per month            ",40 m²,2 rooms,Furnished
Apartment Argonautenstraat,            1076 KV Amsterdam (Stadionbuurt)        ,"                €3,100 per month            ",120 m²,4 rooms,Upholstered
Apartment Eerste Van Swindenstraat,            1093 GD Amsterdam (Dapperbuurt)        ,"                €1,950 per month            ",60 m²,3 rooms,Furnished
Studio Pietersbergweg 207,            1105 BM Amsterdam (Amstel III/Bullewijk)        ,                €950 per month            ,39 m²,1 room,Upholstered
Apartment Stadionkade 23 I,            1077 VL Amsterdam (Apollobuurt)        ,"                €4,200 per month            ",148 m²,4 rooms,Furnished
Apartment Dintelstraat,            1078 VR Amsterdam (Scheldebuurt)        ,"                €1,800 per month            ",77 m²,3 rooms,Furnished
Apartment Veerstraat,            1075 ST Amsterdam (Schinkelbuurt)        ,"                €2,395 per month            ",80 m²,3 rooms,Furnished
Apartment Egelantiersgracht 97 II,            1015 RE Amsterdam (Jordaan)        ,"                €1,550 per month            ",45 m²,2 rooms,Furnished
Apartment Kleiburg 646,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,450 per month            ",61 m²,2 rooms,Furnished
Apartment Cruquiusweg 101 D+P,            1019 AG Amsterdam (Oostelijk Havengebied)        ,"                €2,750 per month            ",103 m²,4 rooms,Furnished
Apartment Johan van Hasseltkade 234,            1032 LP Amsterdam (Noordelijke IJ-oevers West)        ,"                €2,850 per month            ",153 m²,4 rooms,Furnished
Apartment Haarlemmerweg 149 hs,            1051 KX Amsterdam (Staatsliedenbuurt)        ,"                €1,800 per month            ",51 m²,3 rooms,Furnished
Apartment Borssenburgplein 10 2,            1078 TZ Amsterdam (IJselbuurt)        ,"                €2,250 per month            ",81 m²,3 rooms,Upholstered or furnished
Apartment Rijnstraat,            1078 PW Amsterdam (IJselbuurt)        ,"                €2,725 per month            ",72 m²,4 rooms,None
Apartment Jan van Schaffelaarplantsoen 23 D,            1061 DL Amsterdam (De Kolenkit)        ,"                €1,750 per month            ",59 m²,3 rooms,Furnished
Apartment Beemsterstraat 132,            1024 BG Amsterdam (Waterlandpleinbuurt)        ,"                €1,500 per month            ",65 m²,3 rooms,Furnished
Apartment Noordermarkt 4 II,            1015 MV Amsterdam (Jordaan)        ,"                €1,775 per month            ",68 m²,3 rooms,Upholstered
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Van Spilbergenstraat 85 1,            1057 RA Amsterdam (Hoofdweg e.o.)        ,"                €1,650 per month            ",50 m²,3 rooms,Upholstered
House Sarphatikade,            1017 WV Amsterdam (De Weteringschans)        ,"                €2,500 per month            ",75 m²,3 rooms,Upholstered or furnished
Apartment Bataviastraat 73 C,            1095 ER Amsterdam (Indische Buurt Oost)        ,"                €1,600 per month            ",50 m²,2 rooms,Furnished
Apartment Marnixstraat,            1016 TD Amsterdam (Jordaan)        ,"                €2,450 per month            ",80 m²,3 rooms,Furnished
Apartment Spuistraat,            1012 VW Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,000 per month            ",75 m²,3 rooms,Furnished
Apartment Columbusplein 42 3,            1057 VB Amsterdam (Hoofdweg e.o.)        ,"                €2,500 per month            ",106 m²,4 rooms,Furnished
Apartment Swammerdamstraat 56 D,            1091 RW Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",113 m²,4 rooms,None
Apartment H. Cleyndertweg,            1025 DZ Amsterdam (Buikslotermeer)        ,"                €2,750 per month            ",130 m²,4 rooms,None
Apartment Planciusstraat 19 C-5,            1013 MD Amsterdam (Haarlemmerbuurt)        ,"                €1,500 per month            ",30 m²,2 rooms,Furnished
House Prinsengracht 716,            1017 LB Amsterdam (De Weteringschans)        ,"                €12,500 per month            ",355 m²,10 rooms,Furnished
Apartment Jacques Veltmanstraat 181,            1065 DB Amsterdam (Slotervaart Zuid)        ,"                €1,950 per month            ",80 m²,3 rooms,Furnished
Apartment Javastraat 56 1,            1094 HK Amsterdam (Indische Buurt West)        ,"                €1,700 per month            ",58 m²,3 rooms,None
Apartment Prinsengracht,            1015 DT Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",70 m²,2 rooms,Furnished
Apartment Henkenshage 19,            1083 BX Amsterdam (Buitenveldert-Oost)        ,"                €1,950 per month            ",83 m²,3 rooms,Upholstered
Apartment John Blankensteinstraat 59 Bg,            1095 MB Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,450 per month            ",65 m²,2 rooms,Upholstered or furnished
Apartment Bilderdijkstraat 33 2,            1052 NA Amsterdam (Da Costabuurt)        ,"                €1,750 per month            ",55 m²,3 rooms,Furnished
Apartment Hudsonstraat,            1057 SE Amsterdam (Hoofdweg e.o.)        ,"                €1,725 per month            ",50 m²,3 rooms,Furnished
Apartment Parnassusweg 14 hs,            1076 AN Amsterdam (Stadionbuurt)        ,"                €3,250 per month            ",105 m²,4 rooms,Furnished
Apartment Wethouder Frankeweg 3 1,            1098 KV Amsterdam (Middenmeer)        ,"                €1,950 per month            ",70 m²,3 rooms,Furnished
Apartment Hemonystraat 1 2,            1074 BK Amsterdam (Oude Pijp)        ,"                €3,150 per month            ",110 m²,4 rooms,Upholstered
Apartment Tuigerstraat,            1033 PH Amsterdam (Tuindorp Oostzaan)        ,"                €1,495 per month            ",50 m²,2 rooms,Furnished
Apartment Valeriusstraat,            1071 MN Amsterdam (Museumkwartier)        ,"                €2,450 per month            ",72 m²,3 rooms,Furnished
Apartment Prinsengracht,            1017 KJ Amsterdam (De Weteringschans)        ,"                €2,150 per month            ",87 m²,2 rooms,Furnished
Apartment Leidsekade 59 A,            1016 CX Amsterdam (Jordaan)        ,"                €1,850 per month            ",64 m²,2 rooms,Upholstered
Apartment Wanningstraat 12 A,            1071 LB Amsterdam (Museumkwartier)        ,"                €2,950 per month            ",120 m²,3 rooms,Furnished
Apartment Watertorenplein 2 B,            1051 PA Amsterdam (Centrale Markt)        ,"                €3,000 per month            ",110 m²,3 rooms,Upholstered or furnished
Apartment Pretoriusstraat 91 1,            1092 GD Amsterdam (Transvaalbuurt)        ,"                €1,650 per month            ",67 m²,3 rooms,Furnished
Apartment Emmy Andriessestraat,            1087 NE Amsterdam (IJburg Zuid)        ,"                €1,784 per month            ",114 m²,3 rooms,None
Apartment Merlijnstraat,            1055 DC Amsterdam (Erasmuspark)        ,"                €2,650 per month            ",90 m²,5 rooms,Upholstered
Apartment Ceramplein,            1095 DE Amsterdam (Indische Buurt Oost)        ,"                €2,400 per month            ",80 m²,4 rooms,Upholstered
Apartment Frederiksplein 40 B,            1017 XN Amsterdam (De Weteringschans)        ,"                €3,400 per month            ",125 m²,3 rooms,Upholstered
Apartment Nieuwezijds Voorburgwal,            1012 RT Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €5,000 per month            ",180 m²,4 rooms,Furnished
Apartment Solitudolaan 216,            1096 DS Amsterdam (Omval/Overamstel)        ,"                €3,950 per month            ",126 m²,4 rooms,Upholstered
Apartment Rustenburgerstraat 303 1,            1073 GE Amsterdam (Nieuwe Pijp)        ,"                €2,100 per month            ",50 m²,3 rooms,Furnished
Apartment Lijnbaansgracht 320 hs,            1017 WZ Amsterdam (De Weteringschans)        ,"                €2,000 per month            ",75 m²,2 rooms,Upholstered or furnished
Apartment Egelantiersgracht 336,            1015 RR Amsterdam (Jordaan)        ,"                €1,975 per month            ",57 m²,2 rooms,Furnished
Apartment Noorderdwarsstraat 10,            1017 TX Amsterdam (De Weteringschans)        ,"                €2,750 per month            ",78 m²,3 rooms,Furnished
Apartment Kleiburg,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,650 per month            ",100 m²,4 rooms,None
Apartment Planciusstraat 19,            1013 MD Amsterdam (Haarlemmerbuurt)        ,"                €1,450 per month            ",30 m²,1 room,Furnished
Apartment Luzacstraat,            1051 JB Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",55 m²,3 rooms,Furnished
Apartment Venetiëhof,            1019 NA Amsterdam (Oostelijk Havengebied)        ,"                €2,150 per month            ",100 m²,4 rooms,Furnished
Apartment Arènpalmstraat,"            1104 DB Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,250 per month            ",35 m²,2 rooms,Furnished
Apartment Boris Pasternakstraat 367,"            1102 TD Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,500 per month            ",69 m²,3 rooms,Upholstered
Apartment Haarlemmer Houttuinen,            1013 GM Amsterdam (Haarlemmerbuurt)        ,"                €1,850 per month            ",67 m²,3 rooms,Upholstered
Apartment Sterkenburg,            1083 VH Amsterdam (Buitenveldert-Oost)        ,"                €1,800 per month            ",65 m²,3 rooms,Furnished
Apartment Eerste Laurierdwarsstraat,            1016 PV Amsterdam (Jordaan)        ,"                €1,800 per month            ",40 m²,2 rooms,Furnished
Apartment Singel 25,            1012 VC Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,250 per month            ",120 m²,3 rooms,Furnished
